taxlevel	rankID	taxon	daughterlevels	total	A1_T1_3m	A1_T26_0m	A1_T26_3m	A1_T2_0m	A1_T2_3m	A1_T33_0m	A1_T33_3m	A1_T40_0m	A1_T40_3m	A1_T47_0m	A1_T47_3m	A1_T54_0m	A1_T54_3m	A1_T61_0m	A1_T61_3m	A2_T1_0m	A2_T1_3m	A2_T26_0m	A2_T26_3m	A2_T2_0m	A2_T2_3m	A2_T33_0m	A2_T33_3m	A2_T40_0m	A2_T40_3m	A2_T47_0m	A2_T47_3m	A2_T54_0m	A2_T54_3m	A2_T61_0m	A2_T61_3m	A3_T1_0m	A3_T1_3m	A3_T26_0m	A3_T26_3m	A3_T2_0m	A3_T2_3m	A3_T33_0m	A3_T33_3m	A3_T40_0m	A3_T40_3m	A3_T47_0m	A3_T47_3m	A3_T54_0m	A3_T54_3m	A3_T61_0m	A3_T61_3m	A4_T1_0m	A4_T1_3m	A4_T26_0m	A4_T26_3m	A4_T2_0m	A4_T2_3m	A4_T33_0m	A4_T33_3m	A4_T40_0m	A4_T40_3m	A4_T47_0m	A4_T47_3m	A4_T54_0m	A4_T54_3m	A4_T61_0m	A4_T61_3m	A5_T1_0m	A5_T1_3m	A5_T26_0m	A5_T26_3m	A5_T2_0m	A5_T2_3m	A5_T33_0m	A5_T33_3m	A5_T40_0m	A5_T40_3m	A5_T47_0m	A5_T47_3m	A5_T54_0m	A5_T54_3m	A5_T61_0m	A5_T61_3m	A6_T1_0m	A6_T1_3m	A6_T26_0m	A6_T26_3m	A6_T2_0m	A6_T2_3m	A6_T33_0m	A6_T33_3m	A6_T40_0m	A6_T40_3m	A6_T47_0m	A6_T47_3m	A6_T54_0m	A6_T54_3m	A6_T61_0m	A6_T61_3m	Negative
6	0.1.1.2.1.1.1	Clitellata_unclassified	0	175	1	0	4	0	1	0	2	0	0	0	9	0	0	0	7	1	0	0	4	0	0	0	9	0	2	0	24	0	0	0	3	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	3	1	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	34	0	0	0	6	0	0	1	7	0	1	1	0	0	1	0	3	0	1	0	0	0	1	0
4	0.1.1.2.2	Haplotaxida	1	3218	24	0	10	2	3	0	0	0	208	0	0	0	8	0	0	5	4	0	159	2	54	0	56	0	54	0	103	0	0	0	3	177	2	0	0	72	93	0	36	0	2	0	0	0	0	0	1	4	26	0	0	255	1	0	40	0	26	0	0	0	0	0	0	3	144	0	45	14	3	0	7	0	152	0	0	0	116	0	0	20	1181	0	13	8	15	0	2	0	0	0	37	0	0	0	28	0
5	0.1.1.2.2.1	Haplotaxida_fa	1	3218	24	0	10	2	3	0	0	0	208	0	0	0	8	0	0	5	4	0	159	2	54	0	56	0	54	0	103	0	0	0	3	177	2	0	0	72	93	0	36	0	2	0	0	0	0	0	1	4	26	0	0	255	1	0	40	0	26	0	0	0	0	0	0	3	144	0	45	14	3	0	7	0	152	0	0	0	116	0	0	20	1181	0	13	8	15	0	2	0	0	0	37	0	0	0	28	0
6	0.1.1.2.2.1.1	Haplotaxida_ge	0	3218	24	0	10	2	3	0	0	0	208	0	0	0	8	0	0	5	4	0	159	2	54	0	56	0	54	0	103	0	0	0	3	177	2	0	0	72	93	0	36	0	2	0	0	0	0	0	1	4	26	0	0	255	1	0	40	0	26	0	0	0	0	0	0	3	144	0	45	14	3	0	7	0	152	0	0	0	116	0	0	20	1181	0	13	8	15	0	2	0	0	0	37	0	0	0	28	0
2	0.1.2	Apicomplexa	2	153925	472	745	240	531	1515	38	329	2456	1087	31	877	75	622	38	484	191	598	101	1027	1539	1651	1592	5593	140	4477	110	6448	794	2772	242	1031	881	3210	1937	992	1180	2250	1763	2467	1967	1495	435	707	14830	2031	4299	1041	1541	634	3315	276	1162	3756	1464	4652	1622	728	11	69	542	1555	289	1401	3017	1495	4098	272	3980	8537	347	593	815	931	162	3489	1511	3795	1325	1010	413	859	0	435	1298	3703	3035	1974	152	696	47	238	83	956	1147	1163	1
3	0.1.2.1	Apicomplexa_unclassified	1	382	3	1	1	3	5	0	0	2	4	0	2	0	4	0	1	5	0	2	4	5	2	5	7	0	9	1	7	0	9	2	6	2	10	4	4	5	4	1	3	1	12	0	0	38	10	4	2	2	1	7	0	0	22	6	7	4	6	0	0	0	0	1	8	5	7	5	4	7	29	1	2	4	3	0	12	0	3	2	6	1	4	0	4	0	8	3	3	0	3	0	1	0	2	3	6	0
4	0.1.2.1.1	Apicomplexa_unclassified	1	382	3	1	1	3	5	0	0	2	4	0	2	0	4	0	1	5	0	2	4	5	2	5	7	0	9	1	7	0	9	2	6	2	10	4	4	5	4	1	3	1	12	0	0	38	10	4	2	2	1	7	0	0	22	6	7	4	6	0	0	0	0	1	8	5	7	5	4	7	29	1	2	4	3	0	12	0	3	2	6	1	4	0	4	0	8	3	3	0	3	0	1	0	2	3	6	0
5	0.1.2.1.1.1	Apicomplexa_unclassified	1	382	3	1	1	3	5	0	0	2	4	0	2	0	4	0	1	5	0	2	4	5	2	5	7	0	9	1	7	0	9	2	6	2	10	4	4	5	4	1	3	1	12	0	0	38	10	4	2	2	1	7	0	0	22	6	7	4	6	0	0	0	0	1	8	5	7	5	4	7	29	1	2	4	3	0	12	0	3	2	6	1	4	0	4	0	8	3	3	0	3	0	1	0	2	3	6	0
6	0.1.2.1.1.1.1	Apicomplexa_unclassified	0	382	3	1	1	3	5	0	0	2	4	0	2	0	4	0	1	5	0	2	4	5	2	5	7	0	9	1	7	0	9	2	6	2	10	4	4	5	4	1	3	1	12	0	0	38	10	4	2	2	1	7	0	0	22	6	7	4	6	0	0	0	0	1	8	5	7	5	4	7	29	1	2	4	3	0	12	0	3	2	6	1	4	0	4	0	8	3	3	0	3	0	1	0	2	3	6	0
3	0.1.2.2	Conoidasida	3	153543	469	744	239	528	1510	38	329	2454	1083	31	875	75	618	38	483	186	598	99	1023	1534	1649	1587	5586	140	4468	109	6441	794	2763	240	1025	879	3200	1933	988	1175	2246	1762	2464	1966	1483	435	707	14792	2021	4295	1039	1539	633	3308	276	1162	3734	1458	4645	1618	722	11	69	542	1555	288	1393	3012	1488	4093	268	3973	8508	346	591	811	928	162	3477	1511	3792	1323	1004	412	855	0	431	1298	3695	3032	1971	152	693	47	237	83	954	1144	1157	1
