"sampleName","taxon","distance","degdays","counts","fracBySample"
"A1_T2_0m","Rare","0m",57,660,0.067859346082665
"A1_T2_0m","Rhabditida_fa","0m",57,0,0
"A1_T2_0m","Rhizaspididae","0m",57,477,0.0490438001233806
"A1_T2_0m","Sphaeropleales_fa","0m",57,65,0.00668311741723216
"A1_T2_0m","Trichosporonaceae","0m",57,9,0.000925354719309068
"A1_T2_0m","Ustilaginaceae","0m",57,24,0.00246761258482418
"A1_T2_3m","Acari_fa","3m",57,0,0
"A1_T2_3m","Agaricomycetes_unclassified","3m",57,0,0
"A1_T2_3m","Araeolaimida_fa","3m",57,260,0.0746911806952025
"A1_T2_3m","Ascaridida_fa","3m",57,551,0.158287848319448
"A1_T2_3m","Asterales_fa","3m",57,0,0
"A1_T2_3m","Bacillariophyceae","3m",57,11,0.00316001149095088
"A1_T2_3m","Ceratobasidiaceae","3m",57,1,0.000287273771904625
"A1_T2_3m","Chromadorea_unclassified","3m",57,38,0.0109164033323758
"A1_T2_3m","Chromulinales_fa","3m",57,311,0.0893421430623384
"A1_T2_3m","Cladosporiaceae","3m",57,2,0.00057454754380925
"A1_T2_3m","Coleoptera_fa","3m",57,10,0.00287273771904625
"A1_T2_3m","Collembola_fa","3m",57,4,0.0011490950876185
"A1_T2_3m","Conthreep_unclassified","3m",57,9,0.00258546394714163
"A1_T2_3m","Didymellaceae","3m",57,11,0.00316001149095088
"A1_T2_3m","Diptera_fa","3m",57,0,0
"A1_T2_3m","Dorylaimida_fa","3m",57,1,0.000287273771904625
"A1_T2_3m","Dothideomycetes_unclassified","3m",57,0,0
"A1_T2_3m","Eukaryota_unclassified","3m",57,64,0.018385521401896
"A1_T2_3m","Eustigmatales_fa","3m",57,9,0.00258546394714163
"A1_T2_3m","Haplotaxida_fa","3m",57,3,0.000861821315713875
"A1_T2_3m","Haptoria","3m",57,48,0.013789141051422
"A1_T2_3m","Helotiaceae","3m",57,1,0.000287273771904625
"A1_T2_3m","Herpotrichiellaceae","3m",57,8,0.002298190175237
"A1_T2_3m","Hymenoptera_fa","3m",57,3,0.000861821315713875
"A1_T2_3m","Hypotrichia","3m",57,31,0.00890548692904338
"A1_T2_3m","Incertae_Sedis","3m",57,1,0.000287273771904625
"A1_T2_3m","Insecta_unclassified","3m",57,2,0.00057454754380925
